Null display is "<null>".
      full_name       | len 
 BEAUTY GREASE is 175 minutes
 BED HIGHBALL is 106 minutes
 BEDAZZLED MARRIED is 73 minutes
 BEETHOVEN EXORCIST is 151 minutes
 BEHAVIOR RUNAWAY is 100 minutes
 BENEATH RUSH is 53 minutes
 BERETS AGENT is 77 minutes
 BETRAYED REAR is 122 minutes
 BEVERLY OUTLAW is 85 minutes
 BIKINI BORROWERS is 142 minutes
 BILKO ANONYMOUS is 100 minutes
 BILL OTHERS is 93 minutes
 BINGO TALENTED is 150 minutes
 BIRCH ANTITRUST is 162 minutes
 BIRD INDEPENDENCE is 163 minutes
 BIRDCAGE CASPER is 103 minutes
 BIRDS PERDITION is 61 minutes
 BLACKOUT PRIVATE is 85 minutes
 BLADE POLISH is 114 minutes
 BLANKET BEVERLY is 148 minutes
 BLINDNESS GUN is 103 minutes
 BLOOD ARGONAUTS is 71 minutes
 BLUES INSTINCT is 50 minutes
 BOILED DARES is 102 minutes
 BONNIE HOLOCAUST is 63 minutes
 BOOGIE AMELIE is 121 minutes
 BOONDOCK BALLROOM is 76 minutes
 BORN SPINAL is 179 minutes
 BORROWERS BEDAZZLED is 63 minutes
 BOULEVARD MOB is 63 minutes
 BOUND CHEAPER is 98 minutes
 BOWFINGER GABLES is 72 minutes
 BRANNIGAN SUNRISE is 121 minutes
 BRAVEHEART HUMAN is 176 minutes
 BREAKFAST GOLDFINGER is 123 minutes
 BREAKING HOME is 169 minutes
 BRIDE INTRIGUE is 56 minutes
 BRIGHT ENCOUNTERS is 73 minutes
 BRINGING HYSTERICAL is 136 minutes
 BROOKLYN DESERT is 161 minutes
 BROTHERHOOD BLANKET is 73 minutes
 BUBBLE GROSSE is 60 minutes
 BUCKET BROTHERHOOD is 133 minutes
 BUGSY SONG is 119 minutes
 BULL SHAWSHANK is 125 minutes
 BULWORTH COMMANDMENTS is 61 minutes
 BUNCH MINDS is 63 minutes
 BUTCH PANTHER is 67 minutes
 BUTTERFLY CHOCOLAT is 89 minutes
 CABIN FLASH is 53 minutes
 CADDYSHACK JEDI is 52 minutes
 CALENDAR GUNFIGHT is 120 minutes
 CALIFORNIA BIRDS is 75 minutes
 CAMELOT VACATION is 61 minutes
 CAMPUS REMEMBER is 167 minutes
 CANDIDATE PERDITION is 70 minutes
 CANDLES GRAPES is 135 minutes
 CANYON STOCK is 85 minutes
 CAPER MOTIONS is 176 minutes
 CARIBBEAN LIBERTY is 92 minutes
 CAROL TEXAS is 151 minutes
 CARRIE BUNCH is 114 minutes
 CASABLANCA SUPER is 85 minutes
 CASPER DRAGONFLY is 163 minutes
 CASSIDY WYOMING is 61 minutes
 CASUALTIES ENCINO is 179 minutes
 CAT CONEHEADS is 112 minutes
 CATCH AMISTAD is 183 minutes
 CAUSE DATE is 179 minutes
 CELEBRITY HORN is 110 minutes
 CENTER DINOSAUR is 152 minutes
 CHAINSAW UPTOWN is 114 minutes
 CHAMBER ITALIAN is 117 minutes
 CHAMPION FLATLINERS is 51 minutes
 CHANCE RESURRECTION is 70 minutes
 CHAPLIN LICENSE is 146 minutes
 CHARADE DUFFEL is 66 minutes
 CHARIOTS CONSPIRACY is 71 minutes
 CHASING FIGHT is 114 minutes
 CHEAPER CLYDE is 87 minutes
 CHICAGO NORTH is 185 minutes
 CHICKEN HELLFIGHTERS is 122 minutes
 CHILL LUCK is 142 minutes
 CHINATOWN GLADIATOR is 61 minutes
 CHISUM BEHAVIOR is 124 minutes
 CHITTY LOCK is 107 minutes
 CHOCOLAT HARRY is 101 minutes
 CHOCOLATE DUCK is 132 minutes
 CHRISTMAS MOONSHINE is 150 minutes
 CIDER DESIRE is 101 minutes
 CINCINATTI WHISPERER is 143 minutes
 CIRCUS YOUTH is 90 minutes
 CITIZEN SHREK is 165 minutes
 CLASH FREDDY is 81 minutes
 CLEOPATRA DEVIL is 150 minutes
 CLERKS ANGELS is 164 minutes
 CLOCKWORK PARADISE is 143 minutes
 CLONES PINOCCHIO is 124 minutes
 CLOSER BANG is 58 minutes
 CLUB GRAFFITI is 65 minutes
 CLUE GRAIL is 70 minutes
 CLUELESS BUCKET is 95 minutes
 CLYDE THEORY is 139 minutes
 COAST RAINBOW is 55 minutes
 COLDBLOODED DARLING is 70 minutes
 COLOR PHILADELPHIA is 149 minutes
 COMA HEAD is 109 minutes
 COMANCHEROS ENEMY is 67 minutes
 COMFORTS RUSH is 76 minutes
 COMMAND DARLING is 120 minutes
 COMMANDMENTS EXPRESS is 59 minutes
 CONEHEADS SMOOCHY is 112 minutes
 CONFESSIONS MAGUIRE is 65 minutes
 CONFIDENTIAL INTERVIEW is 180 minutes
 CONFUSED CANDLES is 122 minutes
 CONGENIALITY QUEST is 87 minutes
 CONNECTICUT TRAMP is 172 minutes
 CONNECTION MICROCOSMOS is 115 minutes
 CONQUERER NUTS is 173 minutes
 CONSPIRACY SPIRIT is 184 minutes
 CONTACT ANONYMOUS is 166 minutes
 CONTROL ANTHEM is 185 minutes
 CONVERSATION DOWNHILL is 112 minutes
 CORE SUIT is 92 minutes
 COWBOY DOOM is 146 minutes
 CRAFT OUTFIELD is 64 minutes
 CRANES RESERVOIR is 57 minutes
 CRAZY HOME is 136 minutes
 CREATURES SHAKESPEARE is 139 minutes
 CREEPERS KANE is 172 minutes
 CROOKED FROGMEN is 143 minutes
 CROSSING DIVORCE is 50 minutes
 CROSSROADS CASUALTIES is 153 minutes
 CROW GREASE is 104 minutes
 CROWDS TELEMARK is 112 minutes
 CRUELTY UNFORGIVEN is 69 minutes
 CRUSADE HONEY is 112 minutes
 CRYSTAL BREAKING is 184 minutes
 CUPBOARD SINNERS is 56 minutes
 CURTAIN VIDEOTAPE is 133 minutes
 CYCLONE FAMILY is 176 minutes
 DADDY PITTSBURGH is 161 minutes
 DAISY MENAGERIE is 84 minutes
 DALMATIONS SWEDEN is 106 minutes
 DANCES NONE is 58 minutes
 DANCING FEVER is 144 minutes
 DANGEROUS UPTOWN is 121 minutes
 DARES PLUTO is 89 minutes
 DARKNESS WAR is 99 minutes
 DARKO DORADO is 130 minutes
 DARLING BREAKING is 165 minutes
 DARN FORRESTER is 185 minutes
 DAUGHTER MADIGAN is 59 minutes
 DAWN POND is 57 minutes
 DAY UNFAITHFUL is 113 minutes
 DAZED PUNK is 120 minutes
 DECEIVER BETRAYED is 122 minutes
 DEEP CRUSADE is 51 minutes
 DEER VIRGINIAN is 106 minutes
 DELIVERANCE MULHOLLAND is 100 minutes
 DESERT POSEIDON is 64 minutes
 DESIRE ALIEN is 76 minutes
 DESPERATE TRAINSPOTTING is 81 minutes
 DESTINATION JERK is 76 minutes
 DESTINY SATURDAY is 56 minutes
 DETAILS PACKER is 88 minutes
 DETECTIVE VISION is 143 minutes
 DEVIL DESIRE is 87 minutes
 DIARY PANIC is 107 minutes
 DINOSAUR SECRETARY is 63 minutes
 DIRTY ACE is 147 minutes
 DISCIPLE MOTHER is 141 minutes
 DISTURBING SCARFACE is 94 minutes
 DIVIDE MONSTER is 68 minutes
 DIVINE RESURRECTION is 100 minutes
 DIVORCE SHINING is 47 minutes
 DOCTOR GRAIL is 57 minutes
 DOGMA FAMILY is 122 minutes
 DOLLS RAGE is 120 minutes
 DONNIE ALLEY is 125 minutes
 DOOM DANCING is 68 minutes
 DOORS PRESIDENT is 49 minutes
 DORADO NOTTING is 139 minutes
 DOUBLE WRATH is 177 minutes
 DOUBTFIRE LABYRINTH is 154 minutes
 DOWNHILL ENOUGH is 47 minutes
 DOZEN LION is 177 minutes
 DRACULA CRYSTAL is 176 minutes
 DRAGON SQUAD is 170 minutes
 DRAGONFLY STRANGERS is 133 minutes
 DREAM PICKUP is 135 minutes
 DRIFTER COMMANDMENTS is 61 minutes
 DRIVER ANNIE is 159 minutes
 DRIVING POLISH is 175 minutes
 DROP WATERFRONT is 178 minutes
 DRUMLINE CYCLONE is 110 minutes
 DRUMS DYNAMITE is 96 minutes
 DUCK RACER is 116 minutes
 DUDE BLINDNESS is 132 minutes
 DUFFEL APOCALYPSE is 171 minutes
 DUMBO LUST is 119 minutes
 DURHAM PANKY is 154 minutes
 DWARFS ALTER is 101 minutes
 DYING MAKER is 168 minutes
 DYNAMITE TARZAN is 141 minutes
 EAGLES PANKY is 140 minutes
 EARLY HOME is 96 minutes
 EARRING INSTINCT is 98 minutes
 EARTH VISION is 85 minutes
 EASY GLADIATOR is 148 minutes
 EDGE KISSING is 153 minutes
 EFFECT GLADIATOR is 107 minutes
 EGG IGBY is 67 minutes
 EGYPT TENENBAUMS is 85 minutes
 ELEMENT FREDDY is 115 minutes
 ELEPHANT TROJAN is 126 minutes
 ELF MURDER is 155 minutes
 ELIZABETH SHANE is 152 minutes
 EMPIRE MALKOVICH is 177 minutes
 ENCINO ELF is 143 minutes
 ENCOUNTERS CURTAIN is 92 minutes
 ENDING CROWDS is 85 minutes
 ENEMY ODDS is 77 minutes
 ENGLISH BULWORTH is 51 minutes
 ENOUGH RAGING is 158 minutes
 ENTRAPMENT SATISFACTION is 176 minutes
 ESCAPE METROPOLIS is 167 minutes
 EVE RESURRECTION is 66 minutes
 EVERYONE CRAFT is 163 minutes
 EVOLUTION ALTER is 174 minutes
 EXCITEMENT EVE is 51 minutes
 EXORCIST STING is 167 minutes
 EXPECATIONS NATURAL is 138 minutes
 EXPENDABLE STALLION is 97 minutes
 EXPRESS LONELY is 178 minutes
 EXTRAORDINARY CONQUERER is 122 minutes
 EYES DRIVING is 172 minutes
 FACTORY DRAGON is 144 minutes
 FALCON VOLUME is 102 minutes
 FAMILY SWEET is 155 minutes
 FANTASIA PARK is 131 minutes
 FANTASY TROOPERS is 58 minutes
 FARGO GANDHI is 130 minutes
 FATAL HAUNTED is 91 minutes
 FEATHERS METAL is 104 minutes
 FELLOWSHIP AUTUMN is 77 minutes
 FERRIS MOTHER is 142 minutes
 FEUD FROGMEN is 98 minutes
 FEVER EMPIRE is 158 minutes
 FICTION CHRISTMAS is 72 minutes
 FIDDLER LOST is 75 minutes
 FIDELITY DEVIL is 118 minutes
 FIGHT JAWBREAKER is 91 minutes
 FINDING ANACONDA is 156 minutes
 FIRE WOLVES is 173 minutes
 FIREBALL PHILADELPHIA is 148 minutes
 FIREHOUSE VIETNAM is 103 minutes
 FISH OPUS is 125 minutes
 FLAMINGOS CONNECTICUT is 80 minutes
 FLASH WARS is 123 minutes
 FLATLINERS KILLER is 100 minutes
 FLIGHT LIES is 179 minutes
 FLINTSTONES HAPPINESS is 148 minutes
 FLOATS GARDEN is 145 minutes
 FLYING HOOK is 69 minutes
 FOOL MOCKINGBIRD is 158 minutes
 FOREVER CANDIDATE is 131 minutes
 FORREST SONS is 63 minutes
 FORRESTER COMANCHEROS is 112 minutes
 FORWARD TEMPLE is 90 minutes
 FRANKENSTEIN STRANGER is 159 minutes
 FREAKY POCUS is 126 minutes
 FREDDY STORM is 65 minutes
 FREEDOM CLEOPATRA is 133 minutes
 FRENCH HOLIDAY is 99 minutes
 FRIDA SLIPPER is 73 minutes
 FRISCO FORREST is 51 minutes
 FROGMEN BREAKING is 111 minutes
 FRONTIER CABIN is 183 minutes
 FROST HEAD is 82 minutes
 FUGITIVE MAGUIRE is 83 minutes
 FULL FLATLINERS is 94 minutes
 FURY MURDER is 178 minutes
 GABLES METROPOLIS is 161 minutes
 GALAXY SWEETHEARTS is 128 minutes
 GAMES BOWFINGER is 119 minutes
 GANDHI KWAI is 86 minutes
 GANGS PRIDE is 185 minutes
 GARDEN ISLAND is 80 minutes
 GASLIGHT CRUSADE is 106 minutes
 GATHERING CALENDAR is 176 minutes
 GENTLEMEN STAGE is 125 minutes
 GHOST GROUNDHOG is 85 minutes
 GHOSTBUSTERS ELF is 101 minutes
 GIANT TROOPERS is 102 minutes
 GILBERT PELICAN is 114 minutes
 GILMORE BOILED is 163 minutes
 GLADIATOR WESTWARD is 173 minutes
 GLASS DYING is 103 minutes
 GLEAMING JAWBREAKER is 89 minutes
 GLORY TRACY is 115 minutes
 GO PURPLE is 54 minutes
 GODFATHER DIARY is 73 minutes
 GOLD RIVER is 154 minutes
 GOLDFINGER SENSIBILITY is 93 minutes
 GOLDMINE TYCOON is 153 minutes
 GONE TROUBLE is 84 minutes
 GOODFELLAS SALUTE is 56 minutes
 GORGEOUS BINGO is 108 minutes
 GOSFORD DONNIE is 129 minutes
 GRACELAND DYNAMITE is 140 minutes
 GRADUATE LORD is 156 minutes
 GRAFFITI LOVE is 117 minutes
 GRAIL FRANKENSTEIN is 85 minutes
 GRAPES FURY is 155 minutes
 GREASE YOUTH is 135 minutes
 GREATEST NORTH is 93 minutes
 GREEDY ROOTS is 166 minutes
 GREEK EVERYONE is 176 minutes
 GRINCH MASSAGE is 150 minutes
 GRIT CLOCKWORK is 137 minutes
 GROOVE FICTION is 111 minutes
 GROSSE WONDERFUL is 49 minutes
 GROUNDHOG UNCUT is 139 minutes
 GUMP DATE is 53 minutes
 GUN BONNIE is 100 minutes
 GUNFIGHT MOON is 70 minutes
 GUNFIGHTER MUSSOLINI is 127 minutes
 GUYS FALCON is 84 minutes
 HALF OUTFIELD is 146 minutes
 HALL CASSIDY is 51 minutes
 HALLOWEEN NUTS is 47 minutes
 HAMLET WISDOM is 146 minutes
 HANDICAP BOONDOCK is 108 minutes
 HANGING DEEP is 62 minutes
 HANKY OCTOBER is 107 minutes
 HANOVER GALAXY is 47 minutes
 HAPPINESS UNITED is 100 minutes
 HARDLY ROBBERS is 72 minutes
 HAROLD FRENCH is 168 minutes
 HARPER DYING is 52 minutes
 HARRY IDAHO is 121 minutes
 HATE HANDICAP is 107 minutes
 HAUNTED ANTITRUST is 76 minutes
 HAUNTING PIANIST is 181 minutes
 HAWK CHILL is 47 minutes
 HEAD STRANGER is 69 minutes
 HEARTBREAKERS BRIGHT is 59 minutes
 HEAVEN FREEDOM is 48 minutes
 HEAVENLY GUN is 49 minutes
 HEAVYWEIGHTS BEAST is 102 minutes
 HEDWIG ALTER is 169 minutes
 HELLFIGHTERS SIERRA is 75 minutes
 HIGH ENCINO is 84 minutes
 HIGHBALL POTTER is 110 minutes
 HILLS NEIGHBORS is 93 minutes
 HOBBIT ALIEN is 157 minutes
 HOCUS FRIDA is 141 minutes
 HOLES BRANNIGAN is 128 minutes
 HOLIDAY GAMES is 78 minutes
 HOLLOW JEOPARDY is 136 minutes
 HOLLYWOOD ANONYMOUS is 69 minutes
 HOLOCAUST HIGHBALL is 149 minutes
 HOLY TADPOLE is 88 minutes
 HOME PITY is 185 minutes
 HOMEWARD CIDER is 103 minutes
 HOMICIDE PEACH is 141 minutes
 HONEY TIES is 84 minutes
 HOOK CHARIOTS is 49 minutes
 HOOSIERS BIRDCAGE is 176 minutes
 HOPE TOOTSIE is 139 minutes
 HORN WORKING is 95 minutes
 HORROR REIGN is 139 minutes
 HOTEL HAPPINESS is 181 minutes
 HOURS RAGE is 122 minutes
 HOUSE DYNAMITE is 109 minutes
 HUMAN GRAFFITI is 68 minutes
 HUNCHBACK IMPOSSIBLE is 151 minutes
 HUNGER ROOF is 105 minutes
 HUNTER ALTER is 125 minutes
 HUNTING MUSKETEERS is 65 minutes
 HURRICANE AFFAIR is 49 minutes
 HUSTLER PARTY is 83 minutes
 HYDE DOCTOR is 100 minutes
 HYSTERICAL GRAIL is 150 minutes
 ICE CROSSING is 131 minutes
 IDAHO LOVE is 172 minutes
 IDENTITY LOVER is 119 minutes
 IDOLS SNATCHERS is 84 minutes
 IGBY MAKER is 160 minutes
 ILLUSION AMELIE is 122 minutes
 IMAGE PRINCESS is 178 minutes
 IMPACT ALADDIN is 180 minutes
 IMPOSSIBLE PREJUDICE is 103 minutes
 INCH JET is 167 minutes
 INDEPENDENCE HOTEL is 157 minutes
 INDIAN LOVE is 135 minutes
 INFORMER DOUBLE is 74 minutes
 INNOCENT USUAL is 178 minutes
 INSECTS STONE is 123 minutes
 INSIDER ARIZONA is 78 minutes
 INSTINCT AIRPORT is 116 minutes
 INTENTIONS EMPIRE is 107 minutes
 INTERVIEW LIAISONS is 59 minutes
 INTOLERABLE INTENTIONS is 63 minutes
 INTRIGUE WORST is 181 minutes
 INVASION CYCLONE is 97 minutes
 IRON MOON is 46 minutes
 ISHTAR ROCKETEER is 79 minutes
 ISLAND EXORCIST is 84 minutes
 ITALIAN AFRICAN is 174 minutes
 JACKET FRISCO is 181 minutes
 JADE BUNCH is 174 minutes
 JAPANESE RUN is 135 minutes
 JASON TRAP is 130 minutes
 JAWBREAKER BROOKLYN is 118 minutes
 JAWS HARRY is 112 minutes
 JEDI BENEATH is 128 minutes
 JEEPERS WEDDING is 84 minutes
 JEKYLL FROGMEN is 58 minutes
 JEOPARDY ENCINO is 102 minutes
 JERICHO MULAN is 171 minutes
 JERK PAYCHECK is 172 minutes
 JERSEY SASSY is 60 minutes
 JET NEIGHBORS is 59 minutes
 JINGLE SAGEBRUSH is 124 minutes
 JOON NORTHWEST is 105 minutes
 JUGGLER HARDLY is 54 minutes
 JUMANJI BLADE is 121 minutes
 JUMPING WRATH is 74 minutes
 JUNGLE CLOSER is 134 minutes
 KANE EXORCIST is 92 minutes
 KARATE MOON is 120 minutes
 KENTUCKIAN GIANT is 169 minutes
 KICK SAVANNAH is 179 minutes
 KILL BROTHERHOOD is 54 minutes
 KILLER INNOCENT is 161 minutes
 KING EVOLUTION is 184 minutes
 KISS GLORY is 163 minutes
 KISSING DOLLS is 141 minutes
 KNOCK WARLOCK is 71 minutes
 KRAMER CHOCOLATE is 171 minutes
 KWAI HOMEWARD is 46 minutes
 LABYRINTH LEAGUE is 46 minutes
 LADY STAGE is 67 minutes
 LADYBUGS ARMAGEDDON is 113 minutes
 LAMBS CINCINATTI is 144 minutes
 LANGUAGE COWBOY is 78 minutes
 LAWLESS VISION is 181 minutes
 LAWRENCE LOVE is 175 minutes
 LEAGUE HELLFIGHTERS is 110 minutes
 LEATHERNECKS DWARFS is 153 minutes
 LEBOWSKI SOLDIERS is 69 minutes
 LEGALLY SECRETARY is 113 minutes
 LEGEND JEDI is 59 minutes
 LESSON CLEOPATRA is 167 minutes
 LIAISONS SWEET is 140 minutes
 LIBERTY MAGNIFICENT is 138 minutes
 LICENSE WEEKEND is 91 minutes
 LIES TREATMENT is 147 minutes
 LIFE TWISTED is 137 minutes
 LIGHTS DEER is 174 minutes
 LION UNCUT is 50 minutes
 LOATHING LEGALLY is 140 minutes
 LOCK REAR is 120 minutes
 LOLA AGENT is 85 minutes
 LOLITA WORLD is 155 minutes
 LONELY ELEPHANT is 67 minutes
 LORD ARIZONA is 108 minutes
 LOSE INCH is 137 minutes
 LOSER HUSTLER is 80 minutes
 LOST BIRD is 98 minutes
 LOUISIANA HARRY is 70 minutes
 LOVE SUICIDES is 181 minutes
 LOVELY JINGLE is 65 minutes
 LOVER TRUMAN is 75 minutes
 LOVERBOY ATTACKS is 162 minutes
 LUCK OPUS is 152 minutes
 LUCKY FLYING is 97 minutes
