Null display is "<null>".
 First Name  |  Last Name   
 JULIANNE    | DENCH
 SCARLETT    | BENING
 ALBERT      | NOLTE
 FRANCES     | TOMEI
 KEVIN       | GARLAND
 CATE        | MCQUEEN
 DARYL       | CRAWFORD
 GRETA       | KEITEL
 JANE        | JACKMAN
 ADAM        | HOPPER
 RICHARD     | PENN
 GENE        | HOPKINS
 RITA        | REYNOLDS
 ED          | MANSFIELD
 MORGAN      | WILLIAMS
 LUCILLE     | DEE
 EWAN        | GOODING
 WHOOPI      | HURT
 CATE        | HARRIS
 JADA        | RYDER
 RIVER       | DEAN
 ANGELA      | WITHERSPOON
 KIM         | ALLEN
 ALBERT      | JOHANSSON
 FAY         | WINSLET
 EMILY       | DEE
 RUSSELL     | TEMPLE
 JAYNE       | NOLTE
 GEOFFREY    | HESTON
 BEN         | HARRIS
 MINNIE      | KILMER
 MERYL       | GIBSON
 IAN         | TANDY
 FAY         | WOOD
 GRETA       | MALDEN
 VIVIEN      | BASINGER
 LAURA       | BRODY
 CHRIS       | DEPP
 HARVEY      | HOPE
 OPRAH       | KILMER
 CHRISTOPHER | WEST
 HUMPHREY    | WILLIS
 AL          | GARLAND
 NICK        | DEGENERES
 LAURENCE    | BULLOCK
 WILL        | WILSON
 KENNETH     | HOFFMAN
 MENA        | HOPPER
 OLYMPIA     | PFEIFFER
 GROUCHO     | WILLIAMS
 ALAN        | DREYFUSS
 MICHAEL     | BENING
 WILLIAM     | HACKMAN
 JON         | CHASE
 GENE        | MCKELLEN
 LISA        | MONROE
 ED          | GUINESS
 JEFF        | SILVERSTONE
 MATTHEW     | CARREY
 DEBBIE      | AKROYD
 RUSSELL     | CLOSE
 HUMPHREY    | GARLAND
 MICHAEL     | BOLGER
 JULIA       | ZELLWEGER
 RENEE       | BALL
 ROCK        | DUKAKIS
 CUBA        | BIRCH
 AUDREY      | BAILEY
 GREGORY     | GOODING
 JOHN        | SUVARI
 BURT        | TEMPLE
 MERYL       | ALLEN
 JAYNE       | SILVERSTONE
 BELA        | WALKEN
 REESE       | WEST
 MARY        | KEITEL
 JULIA       | FAWCETT
 THORA       | TEMPLE
(200 rows)

            title            | rental_rate | replacement_cost | break_even 
-----------------------------+-------------+------------------+------------
 ACADEMY DINOSAUR            |        0.99 |            20.99 |         22
 ACE GOLDFINGER              |        4.99 |            12.99 |          3
 ADAPTATION HOLES            |        2.99 |            18.99 |          7
 AFFAIR PREJUDICE            |        2.99 |            26.99 |         10
 AFRICAN EGG                 |        2.99 |            22.99 |          8
 AGENT TRUMAN                |        2.99 |            17.99 |          7
 AIRPLANE SIERRA             |        4.99 |            28.99 |          6
 AIRPORT POLLOCK             |        4.99 |            15.99 |          4
 ALABAMA DEVIL               |        2.99 |            21.99 |          8
 ALADDIN CALENDAR            |        4.99 |            24.99 |          6
 ALAMO VIDEOTAPE             |        0.99 |            16.99 |         18
 ALASKA PHANTOM              |        0.99 |            22.99 |         24
 DATE SPEED                  |        0.99 |            19.99 |         21
 ALI FOREVER                 |        4.99 |            21.99 |          5
 ALICE FANTASIA              |        0.99 |            23.99 |         25
 ALIEN CENTER                |        2.99 |            10.99 |          4
 ALLEY EVOLUTION             |        2.99 |            23.99 |          9
 ALONE TRIP                  |        0.99 |            14.99 |         16
 ALTER VICTORY               |        0.99 |            27.99 |         29
 AMADEUS HOLY                |        0.99 |            20.99 |         22
 AMELIE HELLFIGHTERS         |        4.99 |            23.99 |          5
 AMERICAN CIRCUS             |        4.99 |            17.99 |          4
 AMISTAD MIDSUMMER           |        2.99 |            10.99 |          4
 ANACONDA CONFESSIONS        |        0.99 |             9.99 |         11
 ANALYZE HOOSIERS            |        2.99 |            19.99 |          7
 ANGELS LIFE                 |        2.99 |            15.99 |          6
 ANNIE IDENTITY              |        0.99 |            15.99 |         17
 ANONYMOUS HUMAN             |        0.99 |            12.99 |         14
 ANTHEM LUKE                 |        4.99 |            16.99 |          4
 ANTITRUST TOMATOES          |        2.99 |            11.99 |          5
 ANYTHING SAVANNAH           |        2.99 |            27.99 |         10
 APACHE DIVINE               |        4.99 |            16.99 |          4
 APOCALYPSE FLAMINGOS        |        4.99 |            11.99 |          3
 APOLLO TEEN                 |        2.99 |            15.99 |          6
 ARABIA DOGMA                |        0.99 |            29.99 |         31
 ARACHNOPHOBIA ROLLERCOASTER |        2.99 |            24.99 |          9
 ARGONAUTS TOWN              |        0.99 |            12.99 |         14
 ARIZONA BANG                |        2.99 |            28.99 |         10
 ARK RIDGEMONT               |        0.99 |            25.99 |         27
 ARMAGEDDON LOST             |        0.99 |            10.99 |         12
 ARMY FLINTSTONES            |        0.99 |            22.99 |         24
 ARSENIC INDEPENDENCE        |        0.99 |            17.99 |         19
 ARTIST COLDBLOODED          |        2.99 |            10.99 |          4
 ATLANTIS CAUSE              |        2.99 |            15.99 |          6
 ATTACKS HATE                |        4.99 |            21.99 |          5
 ATTRACTION NEWTON           |        4.99 |            14.99 |          4
 AUTUMN CROW                 |        4.99 |            13.99 |          3
 BABY HALL                   |        4.99 |            23.99 |          5
 BACKLASH UNDEFEATED         |        4.99 |            24.99 |          6
 BADMAN DAWN                 |        2.99 |            22.99 |          8
 BAKED CLEOPATRA             |        2.99 |            20.99 |          8
 BALLOON HOMEWARD            |        2.99 |            10.99 |          4
 BALLROOM MOCKINGBIRD        |        0.99 |            29.99 |         31
 BANG KWAI                   |        2.99 |            25.99 |          9
 BANGER PINOCCHIO            |        0.99 |            15.99 |         17
 BARBARELLA STREETCAR        |        2.99 |            27.99 |         10
 BAREFOOT MANCHURIAN         |        2.99 |            15.99 |          6
 BASIC EASY                  |        2.99 |            18.99 |          7
 BEACH HEARTBREAKERS         |        2.99 |            16.99 |          6
 BEAR GRACELAND              |        2.99 |            20.99 |          8
 BEAST HUNCHBACK             |        4.99 |            22.99 |          5
 BEAUTY GREASE               |        4.99 |            28.99 |          6
 BED HIGHBALL                |        2.99 |            23.99 |          9
 BEDAZZLED MARRIED           |        0.99 |            21.99 |         23
 BEETHOVEN EXORCIST          |        0.99 |            26.99 |         28
 BEHAVIOR RUNAWAY            |        4.99 |            20.99 |          5
 BENEATH RUSH                |        0.99 |            27.99 |         29
 BERETS AGENT                |        2.99 |            24.99 |          9
 BETRAYED REAR               |        4.99 |            26.99 |          6
 BEVERLY OUTLAW              |        2.99 |            21.99 |          8
 BIKINI BORROWERS            |        4.99 |            26.99 |          6
 BILKO ANONYMOUS             |        4.99 |            25.99 |          6
 BILL OTHERS                 |        2.99 |            12.99 |          5
 BINGO TALENTED              |        2.99 |            22.99 |          8
 BIRCH ANTITRUST             |        4.99 |            18.99 |          4
 BIRD INDEPENDENCE           |        4.99 |            14.99 |          4
 BIRDCAGE CASPER             |        0.99 |            23.99 |         25
 BIRDS PERDITION             |        4.99 |            15.99 |          4
 BLACKOUT PRIVATE            |        2.99 |            12.99 |          5
 BLADE POLISH                |        0.99 |            10.99 |         12
 BLANKET BEVERLY             |        2.99 |            21.99 |          8
 BLINDNESS GUN               |        4.99 |            29.99 |          7
 BLOOD ARGONAUTS             |        0.99 |            13.99 |         15
 BLUES INSTINCT              |        2.99 |            18.99 |          7
 BOILED DARES                |        4.99 |            13.99 |          3
 BONNIE HOLOCAUST            |        0.99 |            29.99 |         31
 BOOGIE AMELIE               |        4.99 |            11.99 |          3
 BOONDOCK BALLROOM           |        0.99 |            14.99 |         16
 BORN SPINAL                 |        4.99 |            17.99 |          4
 BORROWERS BEDAZZLED         |        0.99 |            22.99 |         24
 BOULEVARD MOB               |        0.99 |            11.99 |         13
 BOUND CHEAPER               |        0.99 |            17.99 |         19
 BOWFINGER GABLES            |        4.99 |            19.99 |          5
 BRANNIGAN SUNRISE           |        4.99 |            27.99 |          6
 BRAVEHEART HUMAN            |        2.99 |            14.99 |          6
 BREAKFAST GOLDFINGER        |        4.99 |            18.99 |          4
 BREAKING HOME               |        2.99 |            21.99 |          8
 BRIDE INTRIGUE              |        0.99 |            24.99 |         26
 BRIGHT ENCOUNTERS           |        4.99 |            12.99 |          3
 BRINGING HYSTERICAL         |        2.99 |            14.99 |          6
 BROOKLYN DESERT             |        4.99 |            21.99 |          5
 BROTHERHOOD BLANKET         |        0.99 |            26.99 |         28
 BUBBLE GROSSE               |        4.99 |            20.99 |          5
 BUCKET BROTHERHOOD          |        4.99 |            27.99 |          6
 BUGSY SONG                  |        2.99 |            17.99 |          7
 BULL SHAWSHANK              |        0.99 |            21.99 |         23
 BULWORTH COMMANDMENTS       |        2.99 |            14.99 |          6
 BUNCH MINDS                 |        2.99 |            13.99 |          5
 BUTCH PANTHER               |        0.99 |            19.99 |         21
 BUTTERFLY CHOCOLAT          |        0.99 |            17.99 |         19
 CABIN FLASH                 |        0.99 |            25.99 |         27
 CADDYSHACK JEDI             |        0.99 |            17.99 |         19
 CALENDAR GUNFIGHT           |        4.99 |            22.99 |          5
 CALIFORNIA BIRDS            |        4.99 |            19.99 |          5
 CAMELOT VACATION            |        0.99 |            26.99 |         28
 CAMPUS REMEMBER             |        2.99 |            27.99 |         10
 CANDIDATE PERDITION         |        2.99 |            10.99 |          4
 CANDLES GRAPES              |        4.99 |            15.99 |          4
 CANYON STOCK                |        0.99 |            26.99 |         28
 CAPER MOTIONS               |        0.99 |            22.99 |         24
 CARIBBEAN LIBERTY           |        4.99 |            16.99 |          4
 CAROL TEXAS                 |        2.99 |            15.99 |          6
 CARRIE BUNCH                |        0.99 |            11.99 |         13
 CASABLANCA SUPER            |        4.99 |            22.99 |          5
 CASPER DRAGONFLY            |        4.99 |            16.99 |          4
 CASSIDY WYOMING             |        2.99 |            19.99 |          7
 CASUALTIES ENCINO           |        4.99 |            16.99 |          4
 CAT CONEHEADS               |        4.99 |            14.99 |          4
 CATCH AMISTAD               |        0.99 |            10.99 |         12
 CAUSE DATE                  |        2.99 |            16.99 |          6
 CELEBRITY HORN              |        0.99 |            24.99 |         26
 CENTER DINOSAUR             |        4.99 |            12.99 |          3
 CHAINSAW UPTOWN             |        0.99 |            25.99 |         27
 CHAMBER ITALIAN             |        4.99 |            14.99 |          4
 CHAMPION FLATLINERS         |        4.99 |            21.99 |          5
 CHANCE RESURRECTION         |        2.99 |            22.99 |          8
 CHAPLIN LICENSE             |        2.99 |            26.99 |         10
 CHARADE DUFFEL              |        2.99 |            21.99 |          8
 CHARIOTS CONSPIRACY         |        2.99 |            29.99 |         11
 CHASING FIGHT               |        4.99 |            21.99 |          5
 CHEAPER CLYDE               |        0.99 |            23.99 |         25
 CHICAGO NORTH               |        4.99 |            11.99 |          3
 CHICKEN HELLFIGHTERS        |        0.99 |            24.99 |         26
 CHILL LUCK                  |        0.99 |            17.99 |         19
 CHINATOWN GLADIATOR         |        4.99 |            24.99 |          6
 CHISUM BEHAVIOR             |        4.99 |            25.99 |          6
 CHITTY LOCK                 |        2.99 |            24.99 |          9
 CHOCOLAT HARRY              |        0.99 |            16.99 |         18
 CHOCOLATE DUCK              |        2.99 |            13.99 |          5
 CHRISTMAS MOONSHINE         |        0.99 |            21.99 |         23
 CIDER DESIRE                |        2.99 |             9.99 |          4
 CINCINATTI WHISPERER        |        4.99 |            26.99 |          6
 CIRCUS YOUTH                |        2.99 |            13.99 |          5
 CITIZEN SHREK               |        0.99 |            18.99 |         20
 CLASH FREDDY                |        2.99 |            12.99 |          5
 CLEOPATRA DEVIL             |        0.99 |            26.99 |         28
 CLERKS ANGELS               |        4.99 |            15.99 |          4
 CLOCKWORK PARADISE          |        0.99 |            29.99 |         31
 CLONES PINOCCHIO            |        2.99 |            16.99 |          6
 CLOSER BANG                 |        4.99 |            12.99 |          3
 CLUB GRAFFITI               |        0.99 |            12.99 |         14
 CLUE GRAIL                  |        4.99 |            27.99 |          6
 CLUELESS BUCKET             |        2.99 |            13.99 |          5
 CLYDE THEORY                |        0.99 |            29.99 |         31
 COAST RAINBOW               |        0.99 |            20.99 |         22
 COLDBLOODED DARLING         |        4.99 |            27.99 |          6
 COLOR PHILADELPHIA          |        2.99 |            19.99 |          7
 COMA HEAD                   |        4.99 |            10.99 |          3
 COMANCHEROS ENEMY           |        0.99 |            23.99 |         25
 COMFORTS RUSH               |        2.99 |            19.99 |          7
 COMMAND DARLING             |        4.99 |            28.99 |          6
 COMMANDMENTS EXPRESS        |        4.99 |            13.99 |          3
 CONEHEADS SMOOCHY           |        4.99 |            12.99 |          3
 CONFESSIONS MAGUIRE         |        4.99 |            25.99 |          6
 CONFIDENTIAL INTERVIEW      |        4.99 |            13.99 |          3
 CONFUSED CANDLES            |        2.99 |            27.99 |         10
 CONGENIALITY QUEST          |        0.99 |            21.99 |         23
 CONNECTICUT TRAMP           |        4.99 |            20.99 |          5
 CONNECTION MICROCOSMOS      |        0.99 |            25.99 |         27
 CONQUERER NUTS              |        4.99 |            14.99 |          4
 CONSPIRACY SPIRIT           |        2.99 |            27.99 |         10
 CONTACT ANONYMOUS           |        2.99 |            10.99 |          4
 CONTROL ANTHEM              |        4.99 |             9.99 |          3
 CONVERSATION DOWNHILL       |        4.99 |            14.99 |          4
 CORE SUIT                   |        2.99 |            24.99 |          9
 COWBOY DOOM                 |        2.99 |            10.99 |          4
 CRAFT OUTFIELD              |        0.99 |            17.99 |         19
 CRANES RESERVOIR            |        2.99 |            12.99 |          5
 CRAZY HOME                  |        2.99 |            24.99 |          9
 CREATURES SHAKESPEARE       |        0.99 |            23.99 |         25
 CREEPERS KANE               |        4.99 |            23.99 |          5
 CROOKED FROGMEN             |        0.99 |            27.99 |         29
 CROSSING DIVORCE            |        4.99 |            19.99 |          5
 CROSSROADS CASUALTIES       |        2.99 |            20.99 |          8
 CROW GREASE                 |        0.99 |            22.99 |         24
 CROWDS TELEMARK             |        4.99 |            16.99 |          4
 CRUELTY UNFORGIVEN          |        0.99 |            29.99 |         31
 CRUSADE HONEY               |        2.99 |            27.99 |         10
 CRYSTAL BREAKING            |        2.99 |            22.99 |          8
 CUPBOARD SINNERS            |        2.99 |            29.99 |         11
 CURTAIN VIDEOTAPE           |        0.99 |            27.99 |         29
 CYCLONE FAMILY              |        2.99 |            18.99 |          7
 DADDY PITTSBURGH            |        4.99 |            26.99 |          6
 DAISY MENAGERIE             |        4.99 |             9.99 |          3
 DALMATIONS SWEDEN           |        0.99 |            25.99 |         27
 DANCES NONE                 |        0.99 |            22.99 |         24
 DANCING FEVER               |        0.99 |            25.99 |         27
 DANGEROUS UPTOWN            |        4.99 |            26.99 |          6
 DARES PLUTO                 |        2.99 |            16.99 |          6
 DARKNESS WAR                |        2.99 |            24.99 |          9
 DARKO DORADO                |        4.99 |            13.99 |          3
 DARLING BREAKING            |        4.99 |            20.99 |          5
 DARN FORRESTER              |        4.99 |            14.99 |          4
 DAUGHTER MADIGAN            |        4.99 |            13.99 |          3
 DAWN POND                   |        4.99 |            27.99 |          6
 DAY UNFAITHFUL              |        4.99 |            16.99 |          4
 DAZED PUNK                  |        4.99 |            20.99 |          5
 DECEIVER BETRAYED           |        0.99 |            22.99 |         24
 DEEP CRUSADE                |        4.99 |            20.99 |          5
 DEER VIRGINIAN              |        2.99 |            13.99 |          5
 DELIVERANCE MULHOLLAND      |        0.99 |             9.99 |         11
 DESERT POSEIDON             |        4.99 |            27.99 |          6
 DESIRE ALIEN                |        2.99 |            24.99 |          9
 DESPERATE TRAINSPOTTING     |        4.99 |            29.99 |          7
 DESTINATION JERK            |        0.99 |            19.99 |         21
 DESTINY SATURDAY            |        4.99 |            20.99 |          5
 DETAILS PACKER              |        4.99 |            17.99 |          4
 DETECTIVE VISION            |        0.99 |            16.99 |         18
 DEVIL DESIRE                |        4.99 |            12.99 |          3
 DIARY PANIC                 |        2.99 |            20.99 |          8
 DINOSAUR SECRETARY          |        2.99 |            27.99 |         10
 DIRTY ACE                   |        2.99 |            29.99 |         11
 DISCIPLE MOTHER             |        0.99 |            17.99 |         19
 DISTURBING SCARFACE         |        2.99 |            27.99 |         10
 DIVIDE MONSTER              |        2.99 |            13.99 |          5
 DIVINE RESURRECTION         |        2.99 |            19.99 |          7
 DIVORCE SHINING             |        2.99 |            21.99 |          8
 DOCTOR GRAIL                |        2.99 |            29.99 |         11
 DOGMA FAMILY                |        4.99 |            16.99 |          4
 DOLLS RAGE                  |        2.99 |            10.99 |          4
 DONNIE ALLEY                |        0.99 |            20.99 |         22
 DOOM DANCING                |        0.99 |            13.99 |         15
 DOORS PRESIDENT             |        4.99 |            22.99 |          5
 DORADO NOTTING              |        4.99 |            26.99 |          6
 DOUBLE WRATH                |        0.99 |            28.99 |         30
 DOUBTFIRE LABYRINTH         |        4.99 |            16.99 |          4
 DOWNHILL ENOUGH             |        0.99 |            19.99 |         21
 DOZEN LION                  |        4.99 |            20.99 |          5
 DRACULA CRYSTAL             |        0.99 |            26.99 |         28
 DRAGON SQUAD                |        0.99 |            26.99 |         28
 DRAGONFLY STRANGERS         |        4.99 |            19.99 |          5
 DREAM PICKUP                |        2.99 |            18.99 |          7
 DRIFTER COMMANDMENTS        |        4.99 |            18.99 |          4
 DRIVER ANNIE                |        2.99 |            11.99 |          5
 DRIVING POLISH              |        4.99 |            21.99 |          5
 DROP WATERFRONT             |        4.99 |            20.99 |          5
 DRUMLINE CYCLONE            |        0.99 |            14.99 |         16
 DRUMS DYNAMITE              |        0.99 |            11.99 |         13
 DUCK RACER                  |        2.99 |            15.99 |          6
 DUDE BLINDNESS              |        4.99 |             9.99 |          3
 DUFFEL APOCALYPSE           |        0.99 |            13.99 |         15
 DUMBO LUST                  |        0.99 |            17.99 |         19
 DURHAM PANKY                |        4.99 |            14.99 |          4
 DWARFS ALTER                |        2.99 |            13.99 |          5
 DYING MAKER                 |        4.99 |            28.99 |          6
 DYNAMITE TARZAN             |        0.99 |            27.99 |         29
 EAGLES PANKY                |        4.99 |            14.99 |          4
 EARLY HOME                  |        4.99 |            27.99 |          6
 EARRING INSTINCT            |        0.99 |            22.99 |         24
 EARTH VISION                |        0.99 |            29.99 |         31
 EASY GLADIATOR              |        4.99 |            12.99 |          3
 EDGE KISSING                |        4.99 |             9.99 |          3
 EFFECT GLADIATOR            |        0.99 |            14.99 |         16
 EGG IGBY                    |        2.99 |            20.99 |          8
 EGYPT TENENBAUMS            |        0.99 |            11.99 |         13
 ELEMENT FREDDY              |        4.99 |            28.99 |          6
 ELEPHANT TROJAN             |        4.99 |            24.99 |          6
 ELF MURDER                  |        4.99 |            19.99 |          5
 ELIZABETH SHANE             |        4.99 |            11.99 |          3
 EMPIRE MALKOVICH            |        0.99 |            26.99 |         28
 ENCINO ELF                  |        0.99 |             9.99 |         11
 ENCOUNTERS CURTAIN          |        0.99 |            20.99 |         22
 ENDING CROWDS               |        0.99 |            10.99 |         12
 ENEMY ODDS                  |        4.99 |            23.99 |          5
 ENGLISH BULWORTH            |        0.99 |            18.99 |         20
 ENOUGH RAGING               |        2.99 |            16.99 |          6
 ENTRAPMENT SATISFACTION     |        0.99 |            19.99 |         21
 ESCAPE METROPOLIS           |        2.99 |            20.99 |          8
 EVE RESURRECTION            |        4.99 |            25.99 |          6
 EVERYONE CRAFT              |        0.99 |            29.99 |         31
 EVOLUTION ALTER             |        0.99 |            10.99 |         12
 EXCITEMENT EVE              |        0.99 |            20.99 |         22
 EXORCIST STING              |        2.99 |            17.99 |          7
 EXPECATIONS NATURAL         |        4.99 |            26.99 |          6
 EXPENDABLE STALLION         |        0.99 |            14.99 |         16
 EXPRESS LONELY              |        2.99 |            23.99 |          9
 EXTRAORDINARY CONQUERER     |        2.99 |            29.99 |         11
 EYES DRIVING                |        2.99 |            13.99 |          5
 FACTORY DRAGON              |        0.99 |             9.99 |         11
 FALCON VOLUME               |        4.99 |            21.99 |          5
 FAMILY SWEET                |        0.99 |            24.99 |         26
 FANTASIA PARK               |        2.99 |            29.99 |         11
 FANTASY TROOPERS            |        0.99 |            27.99 |         29
 FARGO GANDHI                |        2.99 |            28.99 |         10
 FATAL HAUNTED               |        2.99 |            24.99 |          9
 FEATHERS METAL              |        0.99 |            12.99 |         14
 FELLOWSHIP AUTUMN           |        4.99 |             9.99 |          3
 FERRIS MOTHER               |        2.99 |            13.99 |          5
 FEUD FROGMEN                |        0.99 |            29.99 |         31
 FEVER EMPIRE                |        4.99 |            20.99 |          5
 FICTION CHRISTMAS           |        0.99 |            14.99 |         16
 FIDDLER LOST                |        4.99 |            20.99 |          5
 FIDELITY DEVIL              |        4.99 |            11.99 |          3
 FIGHT JAWBREAKER            |        0.99 |            13.99 |         15
 FINDING ANACONDA            |        0.99 |            10.99 |         12
 FIRE WOLVES                 |        4.99 |            18.99 |          4
 FIREBALL PHILADELPHIA       |        0.99 |            25.99 |         27
 FIREHOUSE VIETNAM           |        0.99 |            14.99 |         16
 FISH OPUS                   |        2.99 |            22.99 |          8
 FLAMINGOS CONNECTICUT       |        4.99 |            28.99 |          6
 FLASH WARS                  |        4.99 |            21.99 |          5
 FLATLINERS KILLER           |        2.99 |            29.99 |         11
 FLIGHT LIES                 |        4.99 |            22.99 |          5
 FLINTSTONES HAPPINESS       |        4.99 |            11.99 |          3
 FLOATS GARDEN               |        2.99 |            29.99 |         11
 FLYING HOOK                 |        2.99 |            18.99 |          7
 FOOL MOCKINGBIRD            |        4.99 |            24.99 |          6
 FOREVER CANDIDATE           |        2.99 |            28.99 |         10
 FORREST SONS                |        2.99 |            15.99 |          6
 FORRESTER COMANCHEROS       |        4.99 |            22.99 |          5
 FORWARD TEMPLE              |        2.99 |            25.99 |          9
 FRANKENSTEIN STRANGER       |        0.99 |            16.99 |         18
 FREAKY POCUS                |        2.99 |            16.99 |          6
 FREDDY STORM                |        4.99 |            21.99 |          5
 FREEDOM CLEOPATRA           |        0.99 |            23.99 |         25
 FRENCH HOLIDAY              |        4.99 |            22.99 |          5
 FRIDA SLIPPER               |        2.99 |            11.99 |          5
 FRISCO FORREST              |        4.99 |            23.99 |          5
 FROGMEN BREAKING            |        0.99 |            17.99 |         19
 FRONTIER CABIN              |        4.99 |            14.99 |          4
 FROST HEAD                  |        0.99 |            13.99 |         15
 FUGITIVE MAGUIRE            |        4.99 |            28.99 |          6
 FULL FLATLINERS             |        2.99 |            14.99 |          6
 FURY MURDER                 |        0.99 |            28.99 |         30
 GABLES METROPOLIS           |        0.99 |            17.99 |         19
 GALAXY SWEETHEARTS          |        4.99 |            13.99 |          3
 GAMES BOWFINGER             |        4.99 |            17.99 |          4
 GANDHI KWAI                 |        0.99 |             9.99 |         11
 GANGS PRIDE                 |        2.99 |            27.99 |         10
 GARDEN ISLAND               |        4.99 |            21.99 |          5
 GASLIGHT CRUSADE            |        2.99 |            10.99 |          4
 GATHERING CALENDAR          |        0.99 |            22.99 |         24
 GENTLEMEN STAGE             |        2.99 |            22.99 |          8
 GHOST GROUNDHOG             |        4.99 |            18.99 |          4
 GHOSTBUSTERS ELF            |        0.99 |            18.99 |         20
 GIANT TROOPERS              |        2.99 |            10.99 |          4
 GILBERT PELICAN             |        0.99 |            13.99 |         15
 GILMORE BOILED              |        0.99 |            29.99 |         31
 GLADIATOR WESTWARD          |        4.99 |            20.99 |          5
 GLASS DYING                 |        0.99 |            24.99 |         26
 GLEAMING JAWBREAKER         |        2.99 |            25.99 |          9
 GLORY TRACY                 |        2.99 |            13.99 |          5
 GO PURPLE                   |        0.99 |            12.99 |         14
 GODFATHER DIARY             |        2.99 |            14.99 |          6
 GOLD RIVER                  |        4.99 |            21.99 |          5
 GOLDFINGER SENSIBILITY      |        0.99 |            29.99 |         31
 GOLDMINE TYCOON             |        0.99 |            20.99 |         22
 GONE TROUBLE                |        2.99 |            20.99 |          8
 GOODFELLAS SALUTE           |        4.99 |            22.99 |          5
 GORGEOUS BINGO              |        2.99 |            26.99 |         10
 GOSFORD DONNIE              |        4.99 |            17.99 |          4
 GRACELAND DYNAMITE          |        4.99 |            26.99 |          6
 GRADUATE LORD               |        2.99 |            14.99 |          6
 GRAFFITI LOVE               |        0.99 |            29.99 |         31
 GRAIL FRANKENSTEIN          |        2.99 |            17.99 |          7
 GRAPES FURY                 |        0.99 |            20.99 |         22
 GREASE YOUTH                |        0.99 |            20.99 |         22
 GREATEST NORTH              |        2.99 |            24.99 |          9
 GREEDY ROOTS                |        0.99 |            14.99 |         16
 GREEK EVERYONE              |        2.99 |            11.99 |          5
 GRINCH MASSAGE              |        4.99 |            25.99 |          6
 GRIT CLOCKWORK              |        0.99 |            21.99 |         23
